employee_id,year,seniority_level,salary_usd
1,2020,Intern,39578.39
1,2021,Intern,40637.8
1,2022,Intern,42391.87
1,2023,Intern,44631.65
1,2024,Intern,46574.49
1,2025,Intern,49637.37
2,2014,Mid,141489.28
2,2015,Mid,144934.51
2,2016,Mid,149206.63
2,2017,Mid,153954.28
2,2018,Mid,157667.62
2,2019,Mid,162810.16
2,2020,Mid,167564.34
2,2021,Mid,175749.32
2,2022,Senior,178952.36
2,2023,Senior,184071.84
2,2024,Senior,192125.64
2,2025,Senior,199656.89
3,2021,Senior,104066.61
3,2022,Senior,108979.91
3,2023,Senior,112485.78
3,2024,Senior,114909.76
3,2025,Lead,118394.22
4,2016,Senior,238113.44
4,2017,Senior,245576.8
4,2018,Senior,254819.75
4,2019,Senior,269619.63
4,2020,Senior,282223.81
4,2021,Senior,295543.82
4,2022,Senior,311106.47
4,2023,Senior,323670.69
4,2024,Senior,339044.88
4,2025,Senior,355264.81
5,2015,Lead,212557.11
5,2016,Lead,220764.18
5,2017,Lead,232682.77
5,2018,Lead,244442.48
5,2019,Lead,255368.85
5,2020,Lead,268306.89
5,2021,Lead,284042.97
5,2022,Lead,294473.26
5,2023,Lead,305733.37
5,2024,Lead,319370.71
5,2025,Lead,333769.9
6,2017,Junior,131834.83
6,2018,Junior,138871.73
6,2019,Mid,144524.52
6,2020,Senior,156784.57
6,2021,Senior,163932.62
6,2022,Senior,168441.4
6,2023,Lead,188469.9
6,2024,Manager,209156.11
6,2025,Manager,217882.5
7,2014,Mid,72613.77
7,2015,Mid,77124.54
7,2016,Mid,80614.58
7,2017,Mid,85453.68
7,2018,Mid,89837.15
7,2019,Senior,92159.89
7,2020,Senior,95348.5
7,2021,Senior,99868.39
7,2022,Lead,107143.54
7,2023,Lead,110802.2
7,2024,Lead,117420.48
7,2025,Lead,121497.23
8,2019,Mid,78331.79
8,2020,Senior,83773.5
8,2021,Senior,86237.56
8,2022,Senior,88755.24
8,2023,Senior,93226.85
8,2024,Senior,98958.36
8,2025,Senior,104044.83
9,2015,Mid,109102.46
9,2016,Mid,112422.14
9,2017,Mid,117236.5
9,2018,Mid,119870.45
9,2019,Mid,125799.66
9,2020,Mid,130596.89
9,2021,Senior,134596.15
9,2022,Senior,139886.17
9,2023,Senior,147334.92
9,2024,Senior,154854.77
9,2025,Senior,161883.53
10,2014,Director,138649.03
10,2015,Director,143793.93
10,2016,Director,150968.9
10,2017,Director,155108.77
10,2018,Director,161226.74
10,2019,Director,165881.89
10,2020,Director,172228.13
10,2021,Director,180677.0
10,2022,Director,187792.3
10,2023,Director,194378.92
10,2024,Director,200407.74
10,2025,Director,207117.47
11,2019,Director,221539.35
11,2020,Director,230750.58
11,2021,Director,240090.03
11,2022,Director,249229.19
11,2023,Director,263009.71
11,2024,Director,272606.23
11,2025,Director,283601.73
12,2014,Senior,157508.42
12,2015,Senior,165486.4
12,2016,Senior,172415.49
12,2017,Senior,179756.38
12,2018,Senior,183799.32
12,2019,Senior,191730.67
12,2020,Senior,197283.87
12,2021,Senior,203360.35
12,2022,Senior,211021.75
12,2023,Senior,217473.02
12,2024,Senior,222947.58
12,2025,Senior,232824.33
13,2015,Manager,221613.76
13,2016,Manager,228948.9
13,2017,Manager,240301.47
13,2018,Manager,251401.32
13,2019,Manager,257015.71
13,2020,Manager,267399.87
13,2021,Manager,278619.09
13,2022,Manager,290567.58
13,2023,Manager,302314.14
13,2024,Manager,315313.6
13,2025,Manager,330323.02
14,2023,Senior,206900.13
14,2024,Senior,217893.2
14,2025,Senior,227371.69
15,2019,Junior,35390.18
